experiment,dataset_group,model_group,n,positive_rate,mae,brier,log_loss,roc_auc,pr_auc,threshold_min,threshold_max,threshold_mean,accuracy,balanced_accuracy,precision,recall,f1,specificity,fpr,fnr,tp,fp,tn,fn
booktection_comparison_llama31_8b,BookTection comparison,Llama 3.1 8B,200,0.5,0.47783682586335013,0.23366099874069718,0.6582126666121121,0.6679999999999999,0.6781954407982133,0.7501260772391134,0.7501260772391134,0.7501260772391134,0.525,0.525,1.0,0.05,0.09523809523809523,1.0,0.0,0.95,5,0,100,95
booktection_comparison_llama33_70b,BookTection comparison,Llama 3.3 70B,200,0.5,0.4750359442740262,0.2359774949529504,0.6640343548026051,0.6639,0.6602412553518664,0.7501260772391134,0.7501260772391134,0.7501260772391134,0.53,0.53,0.75,0.09,0.16071428571428573,0.97,0.03,0.91,9,3,97,91
booktection_sage_llama31_8b,BookTection + SAGE,Llama 3.1 8B,200,0.5,0.4982697012732234,0.25185578686111404,0.6977669510804548,0.5769500000000001,0.548910545560691,0.7501260772391134,0.7501260772391134,0.7501260772391134,0.495,0.495,0.0,0.0,0.0,0.99,0.01,1.0,0,1,99,100
booktection_sage_llama33_70b,BookTection + SAGE,Llama 3.3 70B,200,0.5,0.4760222169184361,0.2372786330704929,0.6676564553715744,0.62765,0.6341642330679841,0.7501260772391134,0.7501260772391134,0.7501260772391134,0.535,0.535,0.8888888888888888,0.08,0.14678899082568808,0.99,0.01,0.92,8,1,99,92
wikimia_llama31_8b,WikiMIA,Llama 3.1 8B,82,0.6219512195121951,0.46821759366198956,0.2468025897552878,0.6892327366370498,0.5404807084123973,0.6661131817971966,0.8017803326545357,0.8017803326545357,0.8017803326545355,0.3902439024390244,0.5034788108791904,0.6666666666666666,0.0392156862745098,0.07407407407407407,0.967741935483871,0.03225806451612903,0.9607843137254902,2,1,30,49
wikimia_llama33_70b,WikiMIA,Llama 3.3 70B,82,0.6219512195121951,0.4624267575582549,0.25077985125897123,0.721102696209566,0.5597722960151803,0.645186682307294,0.9319047619047618,0.9319047619047618,0.9319047619047616,0.36585365853658536,0.4838709677419355,0.0,0.0,0.0,0.967741935483871,0.03225806451612903,1.0,0,1,30,51
