experiment,dataset_group,model_group,n,mae,brier,log_loss,roc_auc,pr_auc
wikimia_llama33_70b,WikiMIA,Llama 3.3 70B,82,0.4624267575582549,0.25077985125897123,0.721102696209566,0.5597722960151803,0.645186682307294
wikimia_llama31_8b,WikiMIA,Llama 3.1 8B,82,0.46821759366198956,0.2468025897552878,0.6892327366370498,0.5404807084123973,0.6661131817971966
booktection_comparison_llama33_70b,BookTection comparison,Llama 3.3 70B,200,0.4750359442740262,0.2359774949529504,0.6640343548026051,0.6639,0.6602412553518664
booktection_sage_llama33_70b,BookTection + SAGE,Llama 3.3 70B,200,0.4760222169184361,0.2372786330704929,0.6676564553715744,0.62765,0.6341642330679841
booktection_comparison_llama31_8b,BookTection comparison,Llama 3.1 8B,200,0.47783682586335013,0.23366099874069718,0.6582126666121121,0.6679999999999999,0.6781954407982133
booktection_sage_llama31_8b,BookTection + SAGE,Llama 3.1 8B,200,0.4982697012732234,0.25185578686111404,0.6977669510804548,0.5769500000000001,0.548910545560691
