,avg_sps,avg_wordsim,avg_final_score,elapsed_seconds,gemini_calls,gemini_retries
count,199.0,199.0,199.0,200.0,200.0,200.0
mean,0.9326124856220418,0.40988018305537505,0.5227323025666667,5.498271646499634,2.985,0.0
std,0.08920814856901253,0.05088308356562527,0.09708306991835321,0.9299434809309967,0.21213203435596428,0.0
min,0.2804032564163208,0.2768025921708263,-0.09976869470458566,1.6927719116210938e-05,0.0,0.0
25%,0.9134049117565155,0.3695844759414162,0.49054576109238934,5.107699811458588,3.0,0.0
50%,0.9646588563919067,0.4105305818970771,0.5355346153027982,5.422804474830627,3.0,0.0
75%,0.9823977053165436,0.4449369642677419,0.5837870135534241,5.716942071914673,3.0,0.0
max,1.0,0.599092970521542,0.6946065677080111,12.643888711929321,3.0,0.0
