,avg_sps,avg_wordsim,avg_final_score,elapsed_seconds
count,199.0,199.0,199.0,200.0
mean,0.6936763392471189,0.26290244208606794,0.43077389716105097,0.559111293554306
std,0.2223766571339542,0.12316403919341506,0.1984335193025345,0.1261772472830141
min,0.06919384002685547,0.03166175024582104,-0.1199739732215157,1.0967254638671875e-05
25%,0.5541515946388245,0.1804778400100398,0.30249863320948817,0.4760470390319824
50%,0.7569085955619812,0.24666173513903114,0.4399710373246866,0.5646277666091919
75%,0.8653819262981415,0.3308603110553404,0.5726153187724589,0.6547421216964722
max,0.9998133778572083,0.661881038647343,0.82060030956476,0.8271632194519043
