,avg_sps,avg_wordsim,avg_final_score,elapsed_seconds
count,199.0,199.0,199.0,200.0
mean,0.8641824678859519,0.4256761370042284,0.4385063308817235,0.6882921457290649
std,0.15464110441781342,0.10136625490597284,0.16485193118549665,0.08982378086127246
min,0.0,0.1270807453416149,-0.5130805067531007,1.5497207641601562e-05
25%,0.8221818804740906,0.37140985861049014,0.3792960750440278,0.6727241277694702
50%,0.9083917737007141,0.4311558205000828,0.4503986795037357,0.6977823972702026
75%,0.959293007850647,0.5010970963010681,0.532030961318157,0.7224635481834412
max,0.9993626475334167,0.6355666139558642,0.763666643476404,0.8735034465789795
