,avg_sps,avg_wordsim,avg_final_score,elapsed_seconds
count,200.0,200.0,200.0,200.0
mean,0.9063220796734095,0.45668494655868064,0.4496371331147288,0.7066710329055786
std,0.11005737050822269,0.0973052736169161,0.12459363380089968,0.06686908062825517
min,0.13362951576709747,0.1469356214894171,-0.18392816156215347,0.3469359874725342
25%,0.8809310793876648,0.39249945950605764,0.3977738951251323,0.6781896948814392
50%,0.9430482089519501,0.45304682764589166,0.4625641832768572,0.7012830972671509
75%,0.9761015325784683,0.5228824997502591,0.5233200374280198,0.7187768220901489
max,0.9979074597358704,0.7326827054809463,0.6960414799801771,0.8671331405639648
